Database：Monthly 
Time：Jan 2003-Dec 2011 
Indicators	,Dec 2011	,Nov 2011	,Oct 2011	,Sep 2011	,Aug 2011	,Jul 2011	,Jun 2011	,May 2011	,Apr 2011	,Mar 2011	,Feb 2011	,Jan 2011	,Dec 2010	,Nov 2010	,Oct 2010	,Sep 2010	,Aug 2010	,Jul 2010	,Jun 2010	,May 2010	,Apr 2010	,Mar 2010	,Feb 2010	,Jan 2010	,Dec 2009	,Nov 2009	,Oct 2009	,Sep 2009	,Aug 2009	,Jul 2009	,Jun 2009	,May 2009	,Apr 2009	,Mar 2009	,Feb 2009	,Jan 2009	,Dec 2008	,Nov 2008	,Oct 2008	,Sep 2008	,Aug 2008	,Jul 2008	,Jun 2008	,May 2008	,Apr 2008	,Mar 2008	,Feb 2008	,Jan 2008	,Dec 2007	,Nov 2007	,Oct 2007	,Sep 2007	,Aug 2007	,Jul 2007	,Jun 2007	,May 2007	,Apr 2007	,Mar 2007	,Feb 2007	,Jan 2007	,Dec 2006	,Nov 2006	,Oct 2006	,Sep 2006	,Aug 2006	,Jul 2006	,Jun 2006	,May 2006	,Apr 2006	,Mar 2006	,Feb 2006	,Jan 2006	,Dec 2005	,Nov 2005	,Oct 2005	,Sep 2005	,Aug 2005	,Jul 2005	,Jun 2005	,May 2005	,Apr 2005	,Mar 2005	,Feb 2005	,Jan 2005	,Dec 2004	,Nov 2004	,Oct 2004	,Sep 2004	,Aug 2004	,Jul 2004	,Jun 2004	,May 2004	,Apr 2004	,Mar 2004	,Feb 2004	,Jan 2004	,Dec 2003	,Nov 2003	,Oct 2003	,Sep 2003	,Aug 2003	,Jul 2003	,Jun 2003	,May 2003	,Apr 2003	,Mar 2003	,Feb 2003	,Jan 2003	,
Inventories of Industrial Enterprises, month-end (100 million yuan) 	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
Inventories of Industrial Enterprises, The Same Period of Previous Year (100 million yuan) 	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
Inventories of Industrial Enterprises, Accumulated Growth Rate (%) 	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
Inventories of Mining, month-end (100 million yuan) 	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
Inventories of Mining, The Same Period of Previous Year (100 million yuan) 	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
Inventories of Mining, Accumulated Growth Rate (%) 	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
Inventories of Mining and Washing of Coal, month-end (100 million yuan) 	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
Inventories of Mining and Washing of Coal, The Same Period of Previous Year (100 million yuan) 	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
Inventories of Mining and Washing of Coal, Accumulated Growth Rate (%) 	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
Inventories of Extraction of Petroleum and Natural Gas, month-end (100 million yuan) 	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
